Owner,Cnt_Owner,GovtOwned,CommDev,Selected
AECF ATLANTA HOMES LLC,5,,Yes,Community Development
AECF ATLANTA REALTY LLC,2,,Yes,Community Development
ANDP RESTORATION LLC,3,,Yes,Community Development
ATLANTA BELTLINE INC,8,Yes,,Government-Owned
ATLANTA BEREAN COMMUNITY DEVELOPMENT CORP,1,,Yes,Community Development
ATLANTA BOARD OF EDUCATION,7,Yes,,Government-Owned
ATLANTA BOARD OF EDUCATION CITY OF ATLANTA THE,1,Yes,,Government-Owned
ATLANTA BOARD OF EDUCATION THE,3,Yes,,Government-Owned
ATLANTA DEVELOPMENT AUTHORITY,1,Yes,,Government-Owned
ATLANTA DEVELOPMENT AUTHORITY DBA INVEST ATLANTA,1,Yes,,Government-Owned
ATLANTA DEVELOPMENT AUTHORITY DBA INVEST ATLANTA THE,2,Yes,,Government-Owned
ATLANTA DEVELOPMENT AUTHORITY THE,35,Yes,,Government-Owned
ATLANTA FULTON CO RECREATION AUTHORITY,1,Yes,,Government-Owned
ATLANTA HOUSING AUTHORITY,90,Yes,,Government-Owned
ATLANTA HOUSING AUTHORITY CAPITOL HOMES 6-3,1,Yes,,Government-Owned
ATLANTA HOUSING AUTHORITY GRADY HOMES 6-4,4,Yes,,Government-Owned
ATLANTA HOUSING AUTHORITY GRADY REDEVELOPMENT PARTNSP I LP LEASEE,1,Yes,,Government-Owned
ATLANTA HOUSING AUTHORITY JOEL C HARRIS HOMES 6-7,1,Yes,,Government-Owned
ATLANTA HOUSING AUTHORITY JOHN O CHILES HOMES,1,Yes,,Government-Owned
ATLANTA HOUSING AUTHORITY JOHN O CHILES HOMES 6-13,1,Yes,,Government-Owned
ATLANTA HOUSING AUTHORITY MC DANIEL GLENN HOMES,4,Yes,,Government-Owned
ATLANTA HOUSING AUTHORITY UNIVERSITY HOMES 6-10,2,Yes,,Government-Owned
ATLANTA NEIGHBORHOOD DEVELOPMENT PARTNERSHIP INC,1,,Yes,Community Development
BUTLER STREET COMMUNITY DEVELOPMENT CORP,7,,Yes,Community Development
CABBAGETOWN INITIATIVE COMMUNITY DEVELOPMENT CORP,1,,Yes,Community Development
COMMUNITY DEVELOPMENT & INVESTMENTS LLC,1,,Yes,Community Development
ENGLISH AVENUE COMMUNITY DEVELOPMENT COR PORATION,2,,Yes,Community Development
FULTON CO CITY OF ATLANTA LAND BANK AUTHORITY INC,1,,Yes,Community Development
FULTON COUNTY,147,Yes,,Government-Owned
FULTON COUNTY  CITY OF ATLANTA LAND BANK AUTHORITY,1,,Yes,Community Development
FULTON COUNTY CITY OF ATL LAND BANK AUTH INC,2,,Yes,Community Development
FULTON COUNTY CITY OF ATLANTA LAND BANK,1,,Yes,Community Development
FULTON COUNTY CITY OF ATLANTA LAND BANK AUTHORITY,43,,Yes,Community Development
FULTON COUNTY CITY OF ATLANTA LAND BANK AUTHORITY INC,31,,Yes,Community Development
FULTON COUNTY CITY OF ATLANTA LAND BANK AUTHORTIY,1,,Yes,Community Development
FULTON COUNTY CITY OF ATLANTA LAND BANK OF AUTHORITY INC,1,,Yes,Community Development
FULTON COUNTY GEORGIA,1,Yes,,Government-Owned
FULTON COUNTY/CITY OF ATLANTA LAND BANK  AUTHORITY,3,,Yes,Community Development
HABITAT  FOR HUMANITY IN ATLANTA INC,80,,Yes,Community Development
HABITAT FOR HUMANITY IN ATL INC,2,,Yes,Community Development
HABITAT FOR HUMANITY IN ATLANTA INC,53,,Yes,Community Development
"HABITAT FOR HUMANITY IN ATLANTA, INC.",1,,Yes,Community Development
HABITAT FOR HUMANITY INC ATLANTA INC,1,,Yes,Community Development
MARTA,438,Yes,,Government-Owned
NO LIMITS COMMUNITY DEVELOPMENT CORP,1,,Yes,Community Development
SUMMECH COMMUNITY DEVELOPMENT CORP INC,4,,Yes,Community Development
UNIVERSITY COMMUNITY DEVELOPMENT CORP,5,,Yes,Community Development
UNIVERSITY COMMUNITY DEVELOPMENT CORP.,1,,Yes,Community Development
URBAN RESIDENTIAL FINANCE AUTH,1,,Yes,Community Development
URBAN RESIDENTIAL FINANCE AUTHORITY OF T HE CITY OF ATLANTA,3,,Yes,Community Development
